Continente,País,Consulado,Circ.Electoral,Local,Mesa,Mesas Fusionadas,Electores,Nro.voto,Opción Constitución Política,Votos TRICEL
AMERICA,ARGENTINA,CONSULADO GRAL.,BUENOS AIRES,LOCAL PRIVADO,4.0,4,346.0,2.0,RECHAZO,14.0
AMERICA,ARGENTINA,CONSULADO GRAL.,BUENOS AIRES,LOCAL PRIVADO,4.0,4,346.0,900.0,VOTOS NULOS,0.0
AMERICA,ARGENTINA,CONSULADO GRAL.,BUENOS AIRES,LOCAL PRIVADO,4.0,4,346.0,901.0,VOTOS EN BLANCO,0.0
AMERICA,ARGENTINA,CONSULADO GRAL.,BUENOS AIRES,LOCAL PRIVADO,5.0,5,344.0,1.0,APRUEBO,158.0
AMERICA,ARGENTINA,CONSULADO GRAL.,BUENOS AIRES,LOCAL PRIVADO,5.0,5,344.0,2.0,RECHAZO,20.0
AMERICA,ARGENTINA,CONSULADO GRAL.,BUENOS AIRES,LOCAL PRIVADO,5.0,5,344.0,900.0,VOTOS NULOS,0.0
AMERICA,ARGENTINA,CONSULADO GRAL.,BUENOS AIRES,LOCAL PRIVADO,5.0,5,344.0,901.0,VOTOS EN BLANCO,0.0
AMERICA,ARGENTINA,CONSULADO GRAL.,BUENOS AIRES,LOCAL PRIVADO,6.0,6,316.0,1.0,APRUEBO,220.0
AMERICA,ARGENTINA,CONSULADO GRAL.,BUENOS AIRES,LOCAL PRIVADO,6.0,6,316.0,2.0,RECHAZO,15.0
AMERICA,ARGENTINA,CONSULADO GRAL.,BUENOS AIRES,LOCAL PRIVADO,6.0,6,316.0,900.0,VOTOS NULOS,0.0
AMERICA,ARGENTINA,CONSULADO GRAL.,BUENOS AIRES,LOCAL PRIVADO,6.0,6,316.0,901.0,VOTOS EN BLANCO,0.0
AMERICA,ARGENTINA,CONSULADO GRAL.,CORDOBA,CONSULADO,1.0,1,273.0,1.0,APRUEBO,85.0
AMERICA,ARGENTINA,CONSULADO GRAL.,CORDOBA,CONSULADO,1.0,1,273.0,2.0,RECHAZO,15.0
AMERICA,ARGENTINA,CONSULADO GRAL.,CORDOBA,CONSULADO,1.0,1,273.0,900.0,VOTOS NULOS,0.0
AMERICA,ARGENTINA,CONSULADO GRAL.,CORDOBA,CONSULADO,1.0,1,273.0,901.0,VOTOS EN BLANCO,0.0
AMERICA,ARGENTINA,CONSULADO GRAL.,MENDOZA,CONSULADO,1.0,1,345.0,1.0,APRUEBO,49.0
AMERICA,ARGENTINA,CONSULADO GRAL.,MENDOZA,CONSULADO,1.0,1,345.0,2.0,RECHAZO,9.0
